"Position","link","img","title","subtitle","price","rating"
18,"https://wolt.com/nb/nor/oslo/restaurant/sonjas-smultringer","https://imageproxy.wolt.com/venue/5df20af169f555b2cd9d1170/2a441468-3f76-11ea-9db4-0a586468f33c_F%C3%B8rste_forsidebilde.JPG","Haralds Vaffel","World-famou$ vaffelshop 🧡🙏🏼🇳🇴","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8.8
19,"https://wolt.com/nb/nor/oslo/restaurant/falafel-me","https://imageproxy.wolt.com/venue/5ec2770d2c0d6b614f676724/71fb16ba-b94e-11ea-9e8b-1a101a72780b_hero_1.jpg","Falafel Me","Traditional Falafel 😎","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",7.8
20,"https://wolt.com/nb/nor/oslo/restaurant/troys-burger-grunerlkka","https://imageproxy.wolt.com/venue/5fac030b23a35f70e29ea650/3fc69e7e-273c-11eb-9013-4615db35f47a_troys_burger2162.jpg","Troys Burger Grünerløkka","Quality homemade burger made on Josper grill 🔥","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.2
21,"https://wolt.com/nb/nor/oslo/restaurant/uchi","https://imageproxy.wolt.com/venue/5dfa1b2a3ff47331f62f4dbe/25cbd14e-5f9e-11ea-aa50-0a586475cc87_IMG_3294.jpg","Uchi","Specializing in inventive sushi & modern Vietnamese","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
22,"https://wolt.com/nb/nor/oslo/restaurant/skyggesiden-grill","https://imageproxy.wolt.com/venue/5da485e3cb9f7a9348626310/ff5bc1f6-10a7-11ec-9cf6-2a8c63f8fbb3_untitled_session0167.jpg","Skyggesiden Grill","Grillrestaurant!","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8.4
23,"https://wolt.com/nb/nor/oslo/restaurant/yamazaki-sushi-wok","https://imageproxy.wolt.com/venue/5e5f718fdea776b2618c0830/94fbd02c-a222-11ed-b5bf-864b5e767cfa_bf4a879a_5ef7_11ea_9c93_0a58647bac14_img_3865.jpg","Yamazaki Sushi & Wok","Sushi og varmretter","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
24,"https://wolt.com/nb/nor/oslo/restaurant/lille-amerika-bislett","https://imageproxy.wolt.com/venue/627e6ce995a365daf30f4bc7/d9b01b74-d2cf-11ec-b983-e60870e8dae4_f8510ffe_1f7d_11eb_a228_ea82ee7853ec_hero1.jpg","Lille Amerika Bislett","Smashburger & Milkshakes.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
25,"https://wolt.com/nb/nor/oslo/restaurant/pizza-pancetta-briskeby","https://imageproxy.wolt.com/venue/5f632a1ca7c7fc78c598defc/fd57d75e-f8c6-11ea-ab4b-ce07d6355890_hero__pizza_pancetta.jpeg","Pizza Pancetta Briskeby","Vi bringer Italia til deg 🍕","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
26,"https://wolt.com/nb/nor/oslo/restaurant/down-south-deli","https://imageproxy.wolt.com/venue/5f8ecf7c435c65f076a7568a/38456f4e-ba7f-11ed-a6dd-ee6263b5698c_down_south_deli6599.jpg","Down South Deli","A Neighborhood Deli by Way Down South","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
27,"https://wolt.com/nb/nor/oslo/restaurant/munchies-youngstorget","https://imageproxy.wolt.com/venue/5efaeb4d21af01b6d83476c6/d295e958-5ea3-11ed-be6c-464ecd744211_munchies1529.jpeg","Munchies Youngstorget","Your local burger Joint!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8
28,"https://wolt.com/nb/nor/oslo/restaurant/pacific-poke-markveien","https://imageproxy.wolt.com/venue/602c09efbc8b320abece13a9/504cea7c-970d-11ec-9841-72b43248b7d4_dsc_5565_copy.jpg","Pacific Poke Markveien","Poke til folket!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
29,"https://wolt.com/nb/nor/oslo/restaurant/silver-chopsticks-sushi-torshov","https://imageproxy.wolt.com/venue/6335641c084d3c9f1adee716/0fa294e2-494e-11ed-bfb1-ca0d7ed42f32_15432c4e_0f27_11eb_9455_eabacbe08d7c_heroflatlay1.jpg","Silver Chopsticks & Sushi Torshov","Sushi og asiatiske varmretter","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8.6
30,"https://wolt.com/nb/nor/oslo/restaurant/eathappy-vegan","https://imageproxy.wolt.com/venue/61b1eecbcbca219d626d7f9f/c0a5720e-5cec-11ec-931d-6e14a38406e2_eathappy_vegan0590.jpg","EatHappy Vegan","EatHappy Vegan ønsker å vise at vegansk mat kan smake like godt som kjøtt og at det smaker godt å hjelpe miljøet og dyrene!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9.6
31,"https://wolt.com/nb/nor/oslo/restaurant/hankki-oslo","https://imageproxy.wolt.com/venue/63727d70c92826daa2bcd1c3/befa4a06-8081-11ed-b615-6220942a86c8_samlebilde__1_.jpg","Hankki","Deilig koreansk mat!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9.4
32,"https://wolt.com/nb/nor/oslo/restaurant/burger-king-klingenberg","https://imageproxy.wolt.com/venue/5dfb49e423800e4003cd76c8/9b3d912a-2249-11ea-a768-0a58646b0fa1_Cover%20%281%29.jpg","Burger King Klingenberg","Flamed Grilled Burger","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8
33,"https://wolt.com/nb/nor/oslo/restaurant/la-cetta","https://imageproxy.wolt.com/venue/61b9bd2078b2e7243137bf9e/b39039a6-6317-11ec-875a-d2b8ca5b5e46_la_cetta14278.jpg","La Cetta","Ekte italiensk pizza og byens beste tyrkisk döner.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
34,"https://wolt.com/nb/nor/oslo/restaurant/caf-laundromat","https://imageproxy.wolt.com/venue/6176b62b1e6cbc23e4b60960/d949fd74-37fe-11ec-938b-2e6beda10341_cafe__laundromat1787.jpg","Café Laundromat","Hos oss kan du vaske klær, lese en bok og nyte et godt måltid!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
35,"https://wolt.com/nb/nor/oslo/restaurant/banh-mi-xo","https://imageproxy.wolt.com/venue/5ea939744d662dbf7035f7ab/6a715600-a30e-11ed-85e6-deb7c1532d81_banh_mi__16_.jpg","Banh Mi XO","Vietnamesiske baguetter","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
36,"https://wolt.com/nb/nor/oslo/restaurant/sofienberg-grill","https://imageproxy.wolt.com/venue/61780fbcdcb4becfc92fb45a/21b143d2-7dd8-11ec-a631-1a14ae5cf2fe_sofienberg_grill1844.jpg","Sofienberg Grill","Stort utvalg digg pizza, saftig kebab og burgere","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
37,"https://wolt.com/nb/nor/oslo/restaurant/gutta-fra-calcutta","https://imageproxy.wolt.com/venue/5f9ef1e10625a5c59b334b51/04e45546-a226-11ed-9be3-8abbbc02a1ad_96f22cbc_a36b_11eb_af24_4efede836a23_shutterstock_744624757.jpeg","Gutta fra Calcutta","Indisk på Kiellands plass","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
38,"https://wolt.com/nb/nor/oslo/restaurant/marmaris-pizza-grill","https://imageproxy.wolt.com/venue/60d32e8b7801410dae6b7b4a/0bd4a5be-e08e-11eb-84cc-42d4f6f82b36_marmaris0179.jpg","Marmaris Pizza & Grill","Pizza 🍕 Burger 🍔 Kebab 🥙","<span>$</span><span class=""sc-537ac15b-35 hxASyT"">$$$</span>",8
39,"https://wolt.com/nb/nor/oslo/restaurant/bamboo-uranienborg","https://imageproxy.wolt.com/venue/6372760d3a2319a38f527e91/ae88afcc-6f16-11ed-85ed-b6d7dd5c8a8b_bamboo_sushi1505.jpg","Bamboo Uranienborg","Her kan du oppleve det beste fra både verdener, sushi og sashimi samt forskjellige asiatiske retter.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
40,"https://wolt.com/nb/nor/oslo/restaurant/carmel-grill","https://imageproxy.wolt.com/venue/606e316a9dd4618ce7203cba/84bcb074-9df0-11eb-94e3-3efaf44b56e0_carmel_grill1746.jpg","Carmel Grill","Palestinske herligheter - rett fra grillen!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.2
41,"https://wolt.com/nb/nor/oslo/restaurant/oslo-raw-frogner","https://imageproxy.wolt.com/venue/5fb677f55cf05f89779949d8/7828c85c-a21c-11ed-9382-fa590d63f1a6_oslo_raw.jpg","Oslo Raw Frogner","Pleasure & Wellness","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
42,"https://wolt.com/nb/nor/oslo/restaurant/flamme-burger","https://imageproxy.wolt.com/venue/602be33cd0bb61be961c7ff7/4e346bfa-8bc1-11eb-b0ba-6a78035a40a6_flamme_burger5646.jpg","Flamme Burger","Kompromissløs kvalitet med råvarene i fokus 🍔","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
43,"https://wolt.com/nb/nor/oslo/restaurant/oslo-tran-sushi","https://imageproxy.wolt.com/venue/637c89d5aa89637c6e3ec8f6/884da604-7615-11ed-9645-a6a6a0092856_oslo_tran_sushi1635_1_copy.jpg","Oslo Tran Sushi","Opplev sushi på sitt mest kunstneriske og velsmakende.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
44,"https://wolt.com/nb/nor/oslo/restaurant/tullins-cafe","https://imageproxy.wolt.com/venue/5e83635bf638003969218b5e/0f3ad998-a639-11ea-aa0f-0a58647e1db2_hero4_2.jpg","Tullins Café","Restaurant som passer for alle.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
